,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,last_sold_price,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status
house_11,Single Family Residential,10280 Phar Lap Dr ,CUPERTINO,CA,95014,3388888,5,4," 3,749",,1968,1968,0,, 2,,Stevens Creek Elementary School,9,John F. Kennedy Middle School,9,Monta Vista High School,10," Central Forced Air, Heating (2+ Zones)"," Ceiling Fan, Central Forced Air, Multi-Zone",33,28,40,, Active
house_12,Townhouse,10883 Northfield Sq ,CUPERTINO,CA,95014,1288000,2,2," 1,142", 0.031,1973,1973,406,, 2,,L. P. Collins Elementary School,9,Cupertino Middle School,8,Fremont High School,8, Central Forced Air (Gas), Central Forced Air,53,37,71," $1,272,921", Active
house_13,Single Family Residential,15565 Swiss Creek Ln ,CUPERTINO,CA,95014,3600000,6,4," 6,246", 9.9488,1988,1988,0, 8, 3,,Saratoga Elementary School,9,Redwood Middle School,9,Monta Vista High School,10," Central Forced Air, Central Forced Air (Gas), Gas, Propane"," Ceiling Fan, Central Forced Air, Multi-Zone",0,0,6," $3,569,842", Active
house_14,Single Family Residential,18645 Ralya Ct ,CUPERTINO,CA,95014,1399888,3,2," 1,127", 0.1348,1954,1954,0,,,,D. J. Sedgwick Elementary School,8,Warren E. Hyde Middle School,8,Cupertino High School,9, Central Forced Air, Central Forced Air,35,44,64,, Active
house_15,Single Family Residential,20323 Bollinger Rd ,CUPERTINO,CA,95014,2138000,5,3," 2,542", 0.1758,1975,1975,0,, 2,,C. B. Eaton Elementary School,9,Sam H. Lawson Middle School,8,Cupertino High School,9," Forced Air, Gas",,83,41,78," $2,132,836", Active
house_16,Townhouse,20336 Northbrook Sq ,CUPERTINO,CA,95014,1058880,2,2," 1,062", 0.0369,—,—,406,, 2,,L. P. Collins Elementary School,9,Cupertino Middle School,8,Fremont High School,8, Central Forced Air, Central Forced Air,58,40,73," $1,146,491", Active
house_17,Condo/Co-op,20683 Celeste Cir ,CUPERTINO,CA,95014,1149000,2,2," 1,199",,1984,1984,360,, 1,,Chester W. Nimitz Elementary School,6,Cupertino Middle School,8,Homestead High School,9, Central Forced Air, Central Forced Air,62,43,73,, Active
house_18,Single Family Residential,20860 Mcclellan Rd ,CUPERTINO,CA,95014,8200000,—,—,, 1.2669,1950,1950,0,,,,Abraham Lincoln Elementary School,9,Sam H. Lawson Middle School,8,Monta Vista High School,10,,,73,50,78,, Active
house_19,Single Family Residential,20972 Greenleaf Dr ,CUPERTINO,CA,95014,3488000,5,4," 3,382", 0.2552,1951,1990,0,, 2,,Garden Gate Elementary School,9,Sam H. Lawson Middle School,8,Monta Vista High School,10, Central Forced Air, Central Forced Air,63,48,80," $3,378,192", Active
house_20,Single Family Residential,21905 Hyannisport Dr ,Cupertino,CA,95014,1998000,3,2,,,1968,1968,0,,,,Abraham Lincoln Elementary School,9,John F. Kennedy Middle School,9,Monta Vista High School,10,,,32,17,56,, Coming Soon
house_21,Single Family Residential,21905 Hyannisport Dr ,Cupertino,CA,95014,1998000,3,2,,,1968,1968,0,,,,Abraham Lincoln Elementary School,9,John F. Kennedy Middle School,9,Monta Vista High School,10,,,32,17,56,, Coming Soon
house_22,Single Family Residential,22032 Acacia Way ,CUPERTINO,CA,95014,2488888,4,3," 2,436", 0.1422,2007,2007,82,, 2,,West Valley Elementary School,9,Cupertino Middle School,8,Homestead High School,9, Central Forced Air (Gas)," Central Forced Air, Multi-Zone",55,26,55," $2,551,334", Active
house_23,Single Family Residential,22125 Regnart Rd ,CUPERTINO,CA,95014,1899000,3,3," 3,011", 1.1513,1964,1964,0, 3,,,William Regnart Elementary School,9,John F. Kennedy Middle School,9,Monta Vista High School,10," Baseboard, Fireplace", Ceiling Fan,,,," $1,898,731", Active
house_24,Vacant Land,22700 San Juan Rd ,Cupertino,CA,95014,6500000,—,—,,,—,—,0,,,,Stevens Creek Elementary School,9,John F. Kennedy Middle School,9,Monta Vista High School,10,,,44,0,34," $5,541,237", Active
house_25,Condo/Co-op,23150 Cristo Rey #V77 Loop ,CUPERTINO,CA,95014,2695800,2,2," 1,710",,—,—,8567,, 1,,,,,,,, Central Forced Air (Gas), Central Forced Air,44,0,34,, Active
house_26,Single Family Residential,898 Hyde Ave ,CUPERTINO,CA,95014,1488000,4,2," 1,432", 0.1461,1960,1960,0,, 2,,D. J. Sedgwick Elementary School,8,Warren E. Hyde Middle School,8,Cupertino High School,9, Radiant Floors,,68,38,80," $1,533,369", Active
house_27,Multi-Family (2-4 Unit),6000 Mission St ,Daly City,CA,94014,1500000,—,—,,,—,—,0,,,,George Washington Elementary School,3,Thomas R. Pollicita Middle School,4,Oceana High School,7,,,83,75,54,, Active
house_28,Condo/Co-op,89 Goethe St #18 ,DALY CITY,CA,94014,699000,2,2," 1,275",,2005,—,464,, 2,,George Washington Elementary School,3,Thomas R. Pollicita Middle School,4,Oceana High School,7, Other (See Remarks),,83,78,55," $702,554", Active
house_29,Condo/Co-op,89 Goethe St #5 ,DALY CITY,CA,94014,699000,2,2," 1,275",,2005,—,464,, 2,,George Washington Elementary School,3,Thomas R. Pollicita Middle School,4,Oceana High School,7, Other (See Remarks),,83,78,55," $702,552", Active
house_30,Single Family Residential,132 Abelia Way ,EAST PALO ALTO,CA,94303,1160000,4,2," 1,570", 0.1148,1950,—,0, 4,,,,,,,,, Central Forced Air, Central Forced Air,,,," $1,150,829", Active
house_31,Townhouse,151 Mission Dr ,EAST PALO ALTO,CA,94303,899950,2,2," 1,280",,1980,1980,380,, 2,,Willow Oaks Elementary School,2,,,,, Central Forced Air (Gas),,,,," $901,315", Active
house_32,Single Family Residential,180 Jasmine Way ,EAST PALO ALTO,CA,94303,1098000,3,1," 1,110", 0.1363,1951,—,0,, 2,,,,,,,, Central Forced Air (Gas), Other (See Remarks),,,," $1,100,804", Active
house_33,Mobile/Manufactured Home,1893 Woodland Ave #10 ,EAST PALO ALTO,CA,94303,225000,2,1, 520,,2011,—,0,,,,Willow Oaks Elementary School,2,,,,, Wall Furnace,,,,," $186,858", Active
house_34,Vacant Land,0 Mill Creek Rd ,Fremont,CA,94539,2200000,—,—,,,—,—,0,,,,Joshua Chadbourne Elementary School,9,,,Mission San Jose High School,10,,,2,21,1," $2,034,657", Active
house_35,Vacant Land,1160 Highland Ter ,FREMONT,CA,94539,2000000,—,—,, 6.99,—,—,0,,,,Mission San Jose Elementary School,9,,,Mission San Jose High School,10,,,3,26,2," $1,896,331", Active
house_36,Townhouse,1185 Starfish Ter ,Fremont,CA,94536,927550,3,2,,,1995,2001,210, 2, 2,,Parkmont Elementary School,8,,,Washington High School,9," Central Heating, Gas"," Central Heating, Gas",52,59,77," $1,182,315", Active
house_37,Townhouse,1185 Starfish Ter ,Fremont,CA,94536,927550,3,2,,,1995,2001,210, 2, 2,,Parkmont Elementary School,8,,,Washington High School,9," Central Heating, Gas"," Central Heating, Gas",52,59,77," $1,182,315", Active
house_38,Single Family Residential,119 Blaisdell Way ,Fremont,CA,94536,1499800,5,4,,,1990,1990,0,,,,Niles Elementary School,8,,,Washington High School,9,,,53,26,57,, Coming Soon
house_39,Single Family Residential,1235 Deer Rd ,Fremont,CA,94536,793000,2,1,,,1941,1941,0,,,,Vallejo Mill Elementary School,7,,,Washington High School,9,,,6,17,14," $799,456", New
house_40,Single Family Residential,1235 Deer Rd ,Fremont,CA,94536,793000,2,1,,,1941,1941,0,,,,Vallejo Mill Elementary School,7,,,Washington High School,9,,,6,17,14," $799,456", New
house_41,Condo/Co-op,132 Hackamore Ln ,Fremont,CA,94539,568000,2,2,,,1983,1983,414,,,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,72,34,66," $568,036", New
house_42,Single Family Residential,1573 Rosemere Ct ,Fremont,CA,94539,1799800,4,3,,,1991,1991,0,,,,Mission Valley Elementary School,9,,,Mission San Jose High School,10,,,6,29,23,, Coming Soon
house_43,Single Family Residential,160 Cavalo Ct ,Fremont,CA,94539,2598000,5,4,,,—,—,217,, 3,,,,,,,,,,10,28,8,, Active
house_44,Single Family Residential,1602 Mento Ter ,Fremont,CA,94539,2538888,5,4,,,—,—,100,, 3,,Joshua Chadbourne Elementary School,9,,,Mission San Jose High School,10,,,22,30,30," $2,551,558", Active
house_45,Multi-Family (2-4 Unit),161 Bridalveil Falls Cmn Unit 101B ,Fremont,CA,94539,838880,2,2,,,—,—,370,, 1,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,71,34,67," $826,089", Active
house_46,Mobile/Manufactured Home,165 Coleridge Ter ,Fremont,CA,94538,299999,3,2,,,1996,—,0,, 2,,Harvey Green Elementary School,8,,,Irvington High School,9,,,30,32,56," $287,921", Price Change
house_47,Multi-Family (2-4 Unit),171 Bridalveil Falls Cmn Unit 101C ,Fremont,CA,94539,829998,2,2,,,—,—,370,, 1,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,71,34,67," $828,989", Active
house_48,Single Family Residential,1734 Horner Way ,Fremont,CA,94536,1149888,3,2,,,1958,1959,0,,,,Parkmont Elementary School,8,,,Washington High School,9,,,24,43,57,, Coming Soon
house_49,Single Family Residential,1734 Horner Way ,Fremont,CA,94536,1149888,3,2,,,1958,1959,0,,,,Parkmont Elementary School,8,,,Washington High School,9,,,24,43,57,, Coming Soon
house_50,Townhouse,1942 Briscoe Ter ,Fremont,CA,94539,1049800,3,2,,,1972,1974,285,, 2,,John Gomes Elementary School,9,,,Mission San Jose High School,10,,,47,34,50," $1,045,035", New
house_51,Townhouse,1942 Briscoe Ter ,Fremont,CA,94539,1049800,3,2,,,1972,1974,285,, 2,,John Gomes Elementary School,9,,,Mission San Jose High School,10,,,47,34,50," $1,045,035", New
house_52,Single Family Residential,2155 Castillejo Way ,FREMONT,CA,94539,1650000,4,2," 1,761", 0.1911,1978,1979,0, -2, 2,,Mission Valley Elementary School,9,,,Mission San Jose High School,10," Central Forced Air, Individual Room Controls", Central Forced Air,48,28,22," $1,734,244", Active
house_53,Single Family Residential,216 Saint Phillip Ct ,FREMONT,CA,94539,1698000,4,3," 2,072", 0.2466,1959,1960,0,, 2,,Joshua Chadbourne Elementary School,9,,,Mission San Jose High School,10, Central Forced Air, Central Forced Air,21,29,46," $1,847,898", Active
house_54,Townhouse,239 Vivian Cmn ,Fremont,CA,94536,749888,2,2,,,1983,1983,480,, 2,,Niles Elementary School,8,,,Washington High School,9,,,30,26,50," $754,577", Active
house_55,Single Family Residential,241 Clara Ct ,Fremont,CA,94539,3999888,5,4,,,2007,2007,0,, 4,,John Gomes Elementary School,9,,,Mission San Jose High School,10,,,11,28,20," $3,934,084", New
house_56,Single Family Residential,2465 TECADO Ter ,Fremont,CA,94539,10860000,6,9,,,1993,1993,0,, 4,,John Gomes Elementary School,9,,,Mission San Jose High School,10,,,0,0,6," $9,880,538", Active
house_57,Single Family Residential,2617 Sunnycrest Ct ,FREMONT,CA,94539,2275000,4,5," 3,780", 0.3269,2008,2008,0, 2, 2,,Mission Valley Elementary School,9,,,Mission San Jose High School,10, Forced Air, Central Forced Air,39,31,34," $2,307,961", Active
house_58,Single Family Residential,2683 Parkside Dr ,Fremont,CA,94536,999800,3,2,,,1961,1962,44,,,,Parkmont Elementary School,8,,,Washington High School,9,,,68,53,69,, Coming Soon
house_59,Condo/Co-op,274 Hackamore Cmn ,Fremont,CA,94539,619000,2,1,,,1984,1984,410,,,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,66,34,63," $612,817", Active
house_60,Single Family Residential,2994 Southwycke Ter ,Fremont,CA,94536,949800,2,1,,,1988,1988,81,, 2,,Oliveira Elementary School,7,,,American High School,10,,,65,38,68," $956,045", Active
house_61,Single Family Residential,3040 Cadman Rd ,Fremont,CA,94538,945000,3,1,,,1959,1961,0,, 2,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,53,37,58," $925,800", Active
house_62,Single Family Residential,315 Yampa Way ,Fremont,CA,94539,1649000,4,2,,,1987,1989,0,, 2,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,39,38,56," $1,664,261", New
house_63,Single Family Residential,315 Yampa Way ,Fremont,CA,94539,1649000,4,2,,,1987,1989,0,, 2,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,39,38,56," $1,664,261", New
house_64,Single Family Residential,328 Grafton Ter ,Fremont,CA,94539,1298000,4,3,,,2014,2014,136,,,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,68,34,58,, Coming Soon
house_65,Single Family Residential,32999 Lake Wawasee St ,Fremont,CA,94555,924800,3,2,,,1971,1971,0,, 1,,Warwick Elementary School,8,,,American High School,10,,,58,30,54," $965,763", Active
house_66,Single Family Residential,33017 Lake Michigan St ,Fremont,CA,94555,915000,3,2,,,1971,1971,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,58,30,54," $916,332", New
house_67,Single Family Residential,33017 Lake Michigan St ,Fremont,CA,94555,915000,3,2,,,1971,1971,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,58,30,54," $916,332", New
house_68,Single Family Residential,33025 Lake Erie St ,Fremont,CA,94555,775000,3,2,,,1970,1970,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,49,32,54," $836,893", New
house_69,Single Family Residential,3340 Hogarth Pl ,Fremont,CA,94555,999999,3,2,,,1976,1977,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,54,39,59,, New
house_70,Single Family Residential,3340 Hogarth Pl ,Fremont,CA,94555,999999,3,2,,,1976,1977,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,54,39,59,, New
house_71,Condo/Co-op,3371 Baywood Ter #113 ,Fremont,CA,94536,539900,2,2,,,1987,1987,548,, 2,,Oliveira Elementary School,7,,,American High School,10,,,76,40,76," $542,429", Active
house_72,Single Family Residential,3392 Monte Sereno Ter ,Fremont,CA,94539,3500000,5,4,,,1997,2000,297,, 4,,Warm Springs Elementary School,8,,,John M. Horner Junior High School,9,,,0,0,6," $3,293,134", Active
house_73,Condo/Co-op,3395 Pinewood Ter #103 ,Fremont,CA,94536,519900,2,2,,,1987,1987,548,,,,Oliveira Elementary School,7,,,American High School,10,,,67,41,67," $517,265", Active
house_74,Single Family Residential,34272 Newton Pl ,Fremont,CA,94555,1085000,3,2,,,1970,1970,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,58,40,62," $1,149,810", New
house_75,Single Family Residential,34272 Newton Pl ,Fremont,CA,94555,1085000,3,2,,,1970,1970,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,58,40,62," $1,149,810", New
house_76,Townhouse,34379 Livorna Ter ,FREMONT,CA,94555,1168800,3,3," 1,783", 0.1886,1992,1993,175,, 2,,Ardenwood Elementary School,8,,,American High School,10, Forced Air,,49,30,65," $1,166,269", Active
house_77,Townhouse,34512 Bluestone Cmn ,Fremont,CA,94555,698000,3,1,,,1970,1971,310,, 2,,Patterson Elementary School,7,,,American High School,10,,,70,40,60," $699,061", Active
house_78,Single Family Residential,34935 Nova Ter ,FREMONT,CA,94555,999888,3,2," 1,826", 0.093,1991,2000,48,, 2,,Patterson Elementary School,7,,,American High School,10, Central Forced Air, Central Forced Air,43,39,48,, Active
house_79,Vacant Land,350 Mayhews Rd ,Fremont,CA,94536,3800000,3,2,,,—,—,0,,,,Niles Elementary School,8,,,Washington High School,9,,,8,21,9," $3,204,373", Active
house_80,Single Family Residential,35229 Erving Ct ,Fremont,CA,94536,1299000,4,2,,,1972,1973,0,, 2,,Brookvale Elementary School,8,,,American High School,10,,,34,42,60," $1,300,371", New
house_81,Single Family Residential,35235 Cornish Dr ,Fremont,CA,94536,1149800,3,2,,,1972,1973,0,,,,Brookvale Elementary School,8,,,American High School,10,,,26,41,60,, Coming Soon
house_82,Single Family Residential,41002 Genesis Cmn ,Fremont,CA,94538,950000,3,2,,,—,—,235,, 2,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,85,37,61," $937,748", Active
house_83,Townhouse,41000 Genesis Cmn ,Fremont,CA,94538,950000,3,2,,,—,—,235,, 2,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,85,37,61," $942,896", Active
house_84,Townhouse,3568 Madison Cmn ,Fremont,CA,94538,799000,2,2,,,2000,2000,210,, 2,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,59,45,68," $800,559", New
house_85,Townhouse,3568 Madison Cmn ,Fremont,CA,94538,799000,2,2,,,2000,2000,210,, 2,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,59,45,68," $800,559", New
house_86,Single Family Residential,3647 Jamestown Rd ,FREMONT,CA,94538,1299950,3,2," 1,720", 0.1148,1955,1959,0, 3, 2,,E. M. Grimmer Elementary School,8,,,Irvington High School,9, Central Forced Air (Gas), Central Forced Air,44,31,57," $1,291,737", Active
house_87,Townhouse,3658 Capitol Ave Unit 404A ,Fremont,CA,94538,928000,3,2,,,—,—,630,, 2,,Brier Elementary School,7,,,John F. Kennedy High School,7,,,90,53,76," $916,015", Active
house_88,Single Family Residential,3673 Bobwhite Ter ,Fremont,CA,94555,1250000,4,2,,,1989,1989,260,, 2,,Patterson Elementary School,7,,,American High School,10,,,38,32,60," $1,210,904", Active
house_89,Condo/Co-op,37090 Dusterberry Way #9 ,FREMONT,CA,94536,899000,3,2," 1,500",,2007,2007,250,, 2,,Oliveira Elementary School,7,,,American High School,10, Central Forced Air," Ceiling Fan, Central Forced Air",77,40,56," $895,023", Active
house_90,Condo/Co-op,37090 Dusterberry Way #9 ,FREMONT,CA,94536,899000,3,2," 1,500",,2007,2007,250,, 2,,Oliveira Elementary School,7,,,American High School,10, Central Forced Air," Ceiling Fan, Central Forced Air",77,40,56," $895,023", Active
house_91,,37301 Maple St ,Fremont,CA,94536,941332,3,3,,,,,0,,,,Oliveira Elementary School,7,,,American High School,10,,,85,42,55," $937,166", Active
house_92,,37319 Ortega Cmn ,Fremont,CA,94536,947034,3,3,,,,,0,,,,Oliveira Elementary School,7,,,American High School,10,,,42,39,64," $945,512", Active
house_93,Multi-Family (2-4 Unit),37518 Wilburn Pl ,FREMONT,CA,94536,1718000,8,—," 3,540", 0.2297,1963,1964,0, 4,,,Glenmoor Elementary School,7,,,Washington High School,9, Central Forced Air (Gas),,65,37,55," $1,698,015", Active
house_94,Townhouse,37619 Fremont Blvd #207 ,Fremont,CA,94536,849000,4,3,,,2015,2016,420,,,,Glenmoor Elementary School,7,,,Washington High School,9,,,84,41,53,, Coming Soon
house_95,Condo/Co-op,3768 Capitol Ave Unit 417B ,Fremont,CA,94538,818000,2,2,,,—,—,563,, 1,,Brier Elementary School,7,,,John F. Kennedy High School,7,,,88,52,72," $813,854", Active
house_96,Single Family Residential,3773 Armour Ct ,Fremont,CA,94555,1649800,4,3,,,1997,1997,0,, 2,,Warwick Elementary School,8,,,American High School,10,,,57,42,58," $1,661,685", New
house_97,Townhouse,37880 Bright Cmn ,Fremont,CA,94536,799999,3,2,,,1977,1979,277,, 2,,Parkmont Elementary School,8,,,Washington High School,9,,,54,40,62," $811,243", New
house_98,Townhouse,37880 Bright Cmn ,Fremont,CA,94536,799999,3,2,,,1977,1979,277,, 2,,Parkmont Elementary School,8,,,Washington High School,9,,,54,40,62," $811,243", New
house_99,Single Family Residential,38123 Holland Ave ,Fremont,CA,94536,1298888,4,3,,,1960,1961,45,, 2,,Parkmont Elementary School,8,,,Washington High School,9,,,56,49,67," $1,303,861", New
house_100,Single Family Residential,38123 Holland Ave ,Fremont,CA,94536,1298888,4,3,,,1960,1961,45,, 2,,Parkmont Elementary School,8,,,Washington High School,9,,,56,49,67," $1,303,861", New
house_101,Single Family Residential,38221 Glenview Dr ,Fremont,CA,94536,1529800,4,2,,,1954,1955,15,, 2,,Glenmoor Elementary School,7,,,Washington High School,9,,,41,30,42," $1,530,995", New
house_102,Single Family Residential,38221 Glenview Dr ,Fremont,CA,94536,1529800,4,2,,,1954,1955,15,, 2,,Glenmoor Elementary School,7,,,Washington High School,9,,,41,30,42," $1,530,995", New
house_103,Townhouse,38563 Royal Ann Cmn ,FREMONT,CA,94536,588000,3,1," 1,180", 0.0241,1970,1971,325,,,,Vallejo Mill Elementary School,7,,,Washington High School,9, Wall Furnace,,41,45,65," $586,859", Active
house_104,Townhouse,38563 Royal Ann Cmn ,FREMONT,CA,94536,588000,3,1," 1,180", 0.0241,1970,1971,325,,,,Vallejo Mill Elementary School,7,,,Washington High School,9, Wall Furnace,,41,45,65," $586,859", Active
house_105,Townhouse,38564 Mcdole Ter ,Fremont,CA,94536,600000,2,1,,,1972,1974,448,,,,Vallejo Mill Elementary School,7,,,Washington High School,9,,,33,32,63," $607,111", Active
house_106,Single Family Residential,386 De Salle Ter ,FREMONT,CA,94536,1190000,3,2," 2,025", 0.1011,1991,1991,75,, 2,,Niles Elementary School,8,,,Washington High School,9, Central Forced Air (Gas), Central Forced Air,65,26,72," $1,208,552", Active
house_107,Condo/Co-op,38684 Huntington Cir #213 ,Fremont,CA,94536,584800,2,2,,,1988,1988,0,,,,Vallejo Mill Elementary School,7,,,Washington High School,9,,,32,56,68,, Coming Soon
house_108,,3888 Invent Ter Unit 200 ,Fremont,CA,94538,1062565,3,2,,,,,0,,,,Steven Millard Elementary School,7,,,John F. Kennedy High School,7,,,37,32,63," $1,042,378", Active
house_109,,3888 Invent Ter Unit 201 ,Fremont,CA,94538,890748,2,2,,,,,0,,,,Steven Millard Elementary School,7,,,John F. Kennedy High School,7,,,37,32,63," $876,876", Active
house_110,Condo/Co-op,3888 Invent Ter #203 ,FREMONT,CA,94538,1035000,3,2," 1,528",,—,—,456,, 2,,,,,,,," Central Forced Air, Gas", Central Forced Air,37,32,63,, Active
house_111,,3888 Invent Ter Unit 302 ,Fremont,CA,94538,946406,3,2,,,,,0,,,,Steven Millard Elementary School,7,,,John F. Kennedy High School,7,,,37,32,63," $932,306", Active
house_112,,3888 Invent Ter Unit 402 ,Fremont,CA,94538,999618,3,2,,,,,0,,,,Steven Millard Elementary School,7,,,John F. Kennedy High School,7,,,37,32,63," $973,580", Active
house_113,Single Family Residential,390 Riverside Ave ,Fremont,CA,94536,975000,3,2,,,1925,1970,0,,,,Niles Elementary School,8,,,Washington High School,9,,,58,26,72," $1,000,752", Active
house_114,Single Family Residential,39019 Bernadine Dutra Cmn ,Fremont,CA,94538,1678889,4,3,,,—,—,247,, 2,,,,,,,,,,69,28,54,, Active
house_115,Condo/Co-op,39029 Guardino Dr #121 ,FREMONT,CA,94538,468888,1,1, 693, 6.1075,1987,1988,39,, 1,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7, Radiant," Ceiling Fan, Window/Wall Unit",52,59,72," $469,372", Active
house_116,Condo/Co-op,39029 Guardino Dr #121 ,FREMONT,CA,94538,468888,1,1, 693, 6.1075,1987,1988,39,, 1,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7, Radiant," Ceiling Fan, Window/Wall Unit",52,59,72," $469,372", Active
house_117,Single Family Residential,39048 Serra Pl ,Fremont,CA,94538,1559889,4,3,,,—,—,247,, 2,,Brier Elementary School,7,,,John F. Kennedy High School,7,,,72,36,74," $1,564,648", Active
house_118,Condo/Co-op,39059 Guardino Dr #308 ,Fremont,CA,94538,439000,1,1,,,1987,1988,461,, 1,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,52,59,72," $433,375", Active
house_119,Condo/Co-op,39078 Guardino Dr #107 ,Fremont,CA,94538,529888,2,1,,,1990,1990,504,, 1,,Vallejo Mill Elementary School,7,,,Washington High School,9,,,30,57,65," $537,310", Active
house_120,Single Family Residential,3909 Avocet Ter ,Fremont,CA,94555,840000,2,2,,,1987,1987,260,, 2,,Patterson Elementary School,7,,,American High School,10,,,54,31,59," $883,191", Active
house_121,Condo/Co-op,3909 Stevenson #407 ,Fremont,CA,94538,599000,2,2,,,1972,1972,435,, 1,,Brier Elementary School,7,,,John F. Kennedy High School,7,,,63,43,57," $588,398", Active
house_122,Single Family Residential,39108 Serra Pl ,Fremont,CA,94538,1631889,4,3,,,—,—,247,, 2,,Brier Elementary School,7,,,John F. Kennedy High School,7,,,66,37,75," $1,628,060", Active
house_123,Townhouse,39118 Memorial St ,Fremont,CA,94538,948000,3,3,,,—,—,238,, 2,,,,,,,,,,87,52,77,, Active
house_124,Single Family Residential,39118 Serra Pl ,Fremont,CA,94538,1522889,4,3,,,—,—,247,, 2,,Brier Elementary School,7,,,John F. Kennedy High School,7,,,66,37,75," $1,519,838", Active
